Time Steps,h
20,"[0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712 0.3069712
 0.3069712]"
21,"[-1.7637328   0.34206253  0.34041524  0.06342882  0.32257697 -0.83656144
 -1.4856567   0.33534575  0.3365868   0.31630418  0.33423036 -1.0967549
  0.12913708 -0.06170517  0.34247163 -0.01984593  0.27371362  0.33423036
  0.3348354   0.05980849  0.22656487 -0.12734577  0.34377307 -4.4338884
  0.32661206  0.33518022  0.28702375 -0.7246461  -3.4527307   0.32926077
  0.32304966  0.336511    0.10477874 -1.211176    0.3366759   0.03466246
  0.3271756   0.3408782   0.3347317  -0.15766662  0.3411484  -0.4875672
  0.324803    0.31657857 -0.2998014  -0.24978256  0.17353345  0.33969095
  0.07040635 -0.05180877  0.33603212  0.10420716 -0.2728349  -1.9749035
  0.32257697  0.31775677 -1.4713953  -0.7641617  -0.09439647 -0.6350189
  0.32906702  0.334355    0.3137056   0.21370563]"
22,"[ 6.5519214e-02  3.4272456e-01 -1.3158548e-01 -2.9913139e+00
  3.3050820e-01  3.0526763e-01 -4.3476009e-01  3.4517905e-01
  3.4275857e-01  3.4035546e-01  3.3720201e-01  3.3457664e-01
 -5.9012663e-01  3.2855901e-01  3.4336445e-01 -2.5465379e+00
  1.2953034e-01  3.4337848e-01  3.4000200e-01 -1.9305408e-01
 -3.5329461e-03  3.4469223e-01  3.4536433e-01 -6.5534985e-01
  3.1049579e-01  3.3961463e-01 -7.9027355e-02 -1.9196653e-01
  2.9090434e-01  3.0272353e-01  3.2703266e-01  3.2654458e-01
  1.8244812e-01  3.0317718e-01  3.4388196e-01  2.4733126e-01
 -9.6784651e-02  3.2580319e-01  3.3922452e-01  8.8375568e-02
 -1.8746811e-01 -2.4406919e+00  3.3401683e-01  3.4228733e-01
  3.3100724e-01  2.1417364e-01  3.0897999e-01  3.3369952e-01
 -1.7248595e-01  2.9625013e-01  2.2251746e-01 -4.1997652e+00
  3.4022471e-01  3.4179977e-01  3.2575908e-01  3.4481248e-01
 -6.3760936e-02  2.5470293e-01  3.2477880e-01  2.5114948e-01
  3.3711743e-01  3.2825258e-01 -2.4713868e-01  1.7035063e-01]"
23,"[ 3.3065367e-01 -4.6296501e-01  3.2567936e-01  3.4472597e-01
  3.1678307e-01  3.5527289e-01  1.4903171e-01  3.3304164e-01
  2.6492983e-01  3.4672365e-01 -1.3047433e-01  3.0946189e-01
  3.2045370e-01  3.7281781e-02  3.4257260e-01  3.0241439e-01
 -2.5841718e+00 -8.3488798e+00 -7.0995057e-01  2.5539100e-01
  3.2913014e-01  3.5509348e-01  3.3729717e-01  3.5459718e-01
  1.0859156e-01  3.4159052e-01  3.4092519e-01 -6.7358196e-02
  2.9857317e-01  3.1915629e-01 -4.1068780e-01  3.1970823e-01
  1.3363147e-01  3.4613183e-01  3.4778106e-01  3.1882715e-01
  3.5197571e-01 -2.6354008e+00  3.3656955e-01 -1.4494909e+00
  2.0006926e-01  3.1817839e-01  3.3815390e-01  3.4449044e-01
  3.1758460e-01  3.4443954e-01  3.5052586e-01  3.2164407e-01
  2.0887090e-01  3.5704088e-01 -1.7316657e+00  2.2577812e-01
 -1.1790400e+00 -8.2505722e+00  3.2384005e-01 -4.5918000e-01
  2.8288510e-01  3.0706215e-01  8.3041489e-03  2.9148087e-01
  3.2790610e-01  3.2737780e-01  3.3879101e-01  3.0950853e-01]"
24,"[  0.32628018   0.2785983    0.26373145   0.3462131    0.33852544
   0.33788583   0.24185622   0.35074836   0.0626314    0.34948674
  -3.0476046    0.22018446   0.34487402   0.25929394  -4.3154507
   0.35640675   0.33370063  -0.03187379 -11.041251     0.30917448
   0.3574413    0.33092105   0.29879332   0.17658561  -1.2559316
   0.32264835   0.29009873  -1.0682664   -4.6524925    0.22647883
   0.30040997   0.25804973   0.30070388   0.29528248   0.34845656
   0.33289117   0.35214648  -0.63251275   0.33902422   0.32761794
   0.3545359    0.32033908   0.19522916   0.3445964    0.33231023
   0.34528622   0.35121197  -0.16098285  -1.3365822    0.32433015
   0.3543995    0.03889292  -3.3816347   -0.5762454    0.33003023
  -1.4421049    0.3103255   -3.427628    -0.5409722    0.331324
   0.32946238   0.3260983   -0.33917183   0.22284564]"
25,"[ 0.34060603 -0.3299868   0.30505702  0.34261438 -0.5293636   0.34023583
  0.2714245   0.3438717   0.18051149  0.3513245   0.11425532  0.16331363
 -4.9071455   0.3409035   0.34198764  0.34336525  0.35708007  0.31981727
  0.14645216  0.31593397  0.34015062  0.3398525   0.31199917  0.30071384
  0.2084788   0.3134117   0.34901765 -0.5550454   0.23869383  0.32478303
  0.332435    0.3354723   0.17755982  0.35489532  0.348703    0.35271728
  0.34419453  0.22744416  0.32781428  0.33903724  0.35482535  0.12957038
  0.29289538  0.3449975  -0.06496531  0.3381312   0.3485843  -0.5475502
 -0.28117573  0.29970098  0.34174046  0.35578552  0.19700909 -0.06651694
  0.0777905  -3.2949276  -0.17647034  0.0618389   0.33130804  0.34663135
  0.34418106  0.3250814   0.28066245  0.17832696]"
26,"[ 3.4037688e-01 -8.0291557e-01  3.2380569e-01  3.4528548e-01
  3.2384700e-01  3.4066111e-01  3.3935288e-01  3.5043213e-01
  3.4624973e-01  3.3048829e-01  3.1559497e-01 -1.5397513e-01
  2.5978720e-01  3.4058893e-01  3.1868625e-01  5.0284028e-02
  3.5486987e-01  3.2019660e-01  3.1322873e-01  2.9277083e-01
  3.3395249e-01  3.4762356e-01  3.2075262e-01  3.2647818e-01
 -3.1775932e+01  3.1574780e-01  3.1098244e-01  3.3454990e-01
  3.3579996e-01  3.2395890e-01  3.2041582e-01  3.2978696e-01
  2.8777528e-01  3.5704434e-01  3.3193195e-01  1.6867399e-02
  3.4332007e-01  3.0811489e-01 -3.0533184e+01  3.4168929e-01
  3.4271526e-01 -1.2177867e-01  1.5871765e-01  3.4534556e-01
 -1.3625476e+00  3.3930308e-01  3.4945098e-01  8.4552377e-02
  2.0929250e-01  3.5844120e-01  3.4745273e-01 -1.5951997e-01
  3.3011189e-01  2.4081573e-01  1.2781486e-01 -1.7497522e-01
 -5.6057334e-02  1.8726371e-01  3.5234255e-01  2.9170841e-02
  3.4678352e-01  3.5293144e-01  3.4036610e-01  3.4231913e-01]"
27,"[ 0.3312642   0.30718008  0.3233943   0.33048597  0.35236707  0.34016564
  0.3439566   0.34476882  0.34160233  0.34186304  0.0428569   0.3349683
  0.31227598  0.34650144  0.343562   -0.11611477  0.34887064  0.3366157
 -0.48985142  0.29856542  0.33503288  0.3497225   0.3190527   0.3461711
 -0.09483254 -0.16461372  0.26888597  0.34612203  0.29613477  0.3493691
  0.33961043  0.32887945 -2.2092247   0.3594824   0.3395791  -1.8203906
  0.32588246  0.30656078 -0.09519115  0.35175392  0.34320563 -0.30264282
  0.338545    0.34550664  0.35195917  0.34043035  0.35004726  0.272434
  0.32266203  0.3012294   0.3452581   0.29564047  0.30554128  0.2611641
  0.2784195   0.30875123  0.3386668   0.34426412 -0.10650149 -0.41396987
  0.34583163  0.3567179   0.35218328  0.35562867]"
28,"[  0.3409539    0.33052358   0.32631972   0.35816023  -0.38535643
   0.33991724   0.35624212   0.20566463   0.3484416    0.3153575
   0.18008374   0.3458308    0.34744993   0.35082817  -0.41461343
   0.33281073   0.34707493   0.25858968  -3.2034798    0.2913902
   0.33543265   0.3312319    0.33569193   0.35964176   0.35325748
   0.31880808   0.06517714   0.33622462   0.31994984  -0.06935024
   0.34257057  -0.18514216   0.34499562   0.31109598   0.3486431
   0.3270004    0.32470945   0.33591855   0.35630864   0.34158704
   0.34523764  -2.5276494    0.35776684   0.34556      0.35654286
   0.3406149    0.35006687   0.33467072 -35.22895      0.3504977
   0.35608065  -5.022588     0.3583199    0.22126792  -1.7744404
   0.14697798 -25.732382     0.35794997  -1.7101766    0.24113671
   0.3451931    0.3594817    0.34254324  -0.780429  ]"
29,"[ 0.34495592  0.04230952  0.355532    0.3593828   0.1340262   0.3398498
  0.3589061   0.35138816  0.3490603   0.2831602   0.29074022  0.3315568
  0.33278844  0.34665844 -0.16293651  0.265485    0.34670445  0.31619424
  0.30471283  0.30891964  0.35116702  0.3343576   0.33468327  0.35993966
  0.3416401   0.33400604  0.31414074 -1.0572779  -0.15889966 -0.31640482
  0.3436535   0.23869309  0.35730433  0.35931742  0.35089004  0.3562363
  0.32812363  0.3252024   0.33639088  0.3386084   0.34594387 -0.5033238
  0.35048822  0.3455767   0.34992608  0.3404866   0.34994903 -1.1483814
 -0.12281251  0.3595242   0.34645352  0.2773615   0.32596096  0.25602883
  0.31419316  0.329246   -0.34017086  0.3581547   0.25863796  0.28124088
  0.35809496  0.35993752  0.33663684  0.35373473]"
