Time Steps,h
177,[0.34685677 0.35122696 0.33722538 0.32842645]
178,[0.34682328 0.35799327 0.33833048 0.34144506]
179,[0.32670286 0.3596453  0.3385706  0.34655365]
180,[0.33920613 0.35993168 0.33861548 0.34824032]
181,[0.34488615 0.35998604 0.33862215 0.32799447]
182,[0.3465122 0.3599971 0.3455    0.3412424]
183,[0.3260206  0.3599994  0.34716246 0.34672624]
184,[0.3390985  0.3599999  0.3478133  0.34846234]
185,[0.3447839  0.35999998 0.3278487  0.34876308]
186,[0.3571407  0.36       0.33798668 0.33946872]
187,[0.3587847  0.36       0.33851886 0.31052634]
188,[0.3596354  0.36       0.35794616 0.25535712]
189,[0.3598431  0.36       0.35686183 0.2893531 ]
190,[0.3599425  0.36       0.3574208  0.21767046]
