Time Steps,h
21,"[ 3.16578537e-01 -1.10012025e-01  3.42328370e-01  3.32866877e-01
  3.28250736e-01  2.41932243e-01 -6.60419464e-05  3.17516297e-01
  3.35332960e-01 -3.76001298e-02 -9.72171426e-02 -7.17869103e-02
  3.40604156e-01  1.94300756e-01  3.27665359e-01 -5.09243786e-01
  3.23857009e-01  3.35304260e-01 -2.76201367e-01 -9.67253804e-01
  3.36916506e-01 -1.16283000e+00 -5.11074066e-02  1.41389310e-01
  3.26351047e-01  3.26051086e-01  3.11812401e-01  2.75362313e-01
  3.35197926e-01  3.17411631e-01  3.38726819e-01  3.36080730e-01
  3.39498580e-01  3.39945674e-01 -1.02544355e+00 -9.31111455e-01
  3.05621028e-02  3.40358794e-01  3.35505098e-01 -2.95621753e-02
  3.21396530e-01 -7.67530107e+00 -4.59596217e-02  3.24788004e-01
  3.42356056e-01  7.74948895e-02 -1.37918353e+00  3.39395016e-01
  2.84364283e-01  3.46771866e-01  3.33008915e-01  3.27520967e-01
  3.37103933e-01 -3.62158716e-02 -4.26662862e-01  3.14370006e-01
 -2.61150539e-01 -2.30672359e-02  1.47864223e-02 -2.69050658e-01
  3.37197989e-01  2.56591409e-01 -3.74629879e+00  3.40165317e-01]"
22,"[-0.38849586  0.27321345  0.3183158   0.334041    0.32191974 -0.3066113
  0.14749777  0.3414349  -0.468705    0.18181267  0.25586817  0.05787191
  0.34035397 -3.624206    0.33571318  0.02642941 -0.6215443  -0.07172057
  0.33365583  0.19660006  0.34436125  0.14400892  0.3033896   0.1826601
  0.33805308  0.3328458  -1.1035365   0.25909537  0.3416922  -0.05932605
 -0.07543504  0.34181872  0.32264853  0.31382284  0.21607022  0.01903707
 -0.03507018 -0.53673553  0.32602865  0.24760705  0.3254263   0.30384874
  0.04801649 -0.39268225  0.3431848   0.3518754   0.1200297   0.33315432
 -1.886599    0.33868352  0.3323213   0.3365999   0.3450186   0.31957474
  0.157466   -0.05843958  0.12876667  0.2606675   0.18719389  0.11226681
  0.3175015   0.34312722  0.23660848  0.33455983]"
23,"[ 0.11021367  0.27664924  0.33983517  0.3335596   0.33046493  0.29424375
 -0.35251325  0.34845835  0.31056628  0.29756635  0.00393718  0.317954
  0.34560448  0.24278522  0.3417307   0.11302182  0.18765053  0.3508878
 -0.61374855  0.31123772  0.34854805  0.3191437   0.24211618  0.3522599
  0.06125167  0.21988405  0.3533116   0.33622888  0.3391858   0.34528252
 -0.28627324  0.34485313  0.32276547  0.31748477  0.3347322   0.28793848
  0.3079339  -0.08085272 -0.00846377  0.25565806  0.30975428  0.33740008
  0.31650084  0.08034199  0.34439746  0.34649503  0.30392256 -0.8218546
 -0.11177582  0.3403246   0.32431674  0.34083483  0.3458517   0.34876359
 -0.05584574  0.19007793  0.24679871  0.26795873  0.29610795  0.29371488
  0.30139548  0.13741162 -0.3136024   0.31622356]"
24,"[-1.9440023   0.33458906  0.33602548  0.1154469   0.33275023  0.2672256
  0.35171402  0.3500515  -0.90726495  0.32302496  0.26306236  0.33940297
  0.3455765  -0.6957241   0.34504923 -0.12774357  0.3281315  -0.3542235
  0.33881602  0.34670576  0.03283596 -0.29119933  0.25899178  0.35486776
 -1.6531969  -3.3009458   0.33276424  0.2518693   0.3315368   0.33972636
  0.33335155  0.3451635   0.32414734  0.32561904  0.30696043  0.35728174
  0.33318216  0.31701818 -1.1787405   0.28469753  0.30810508  0.3208402
  0.33642945  0.10722688  0.34990683 -0.05725962  0.33867726  0.35501835
  0.28552645  0.34217423  0.33560854  0.34158748  0.3504241   0.34781206
 -0.9856645  -0.38265294  0.3069373   0.35233963  0.33316103  0.309995
 -0.1605969  -0.3471458   0.07278374  0.34719282]"
25,"[ 3.4936294e-01  3.4483710e-01  3.4179327e-01 -1.4049870e-01
  3.3530045e-01  2.6818588e-01  3.5233849e-01  3.4983897e-01
 -1.2130220e+00  3.4800279e-01 -9.9563469e+01 -5.7924950e-01
 -4.4551306e+00  3.3536980e-01  3.4673619e-01  3.4794551e-01
  3.5855138e-01  3.3397996e-01 -1.4320338e-01  3.4909758e-01
  3.4886888e-01  3.4962228e-01 -1.1951600e+00  3.1973967e-01
  3.4455606e-01  2.6260623e-01  3.3002308e-01  2.3814771e-01
  3.4394404e-01 -5.4966669e+00  3.0660796e-01  3.2678014e-01
  3.2463866e-01 -8.2994580e-01 -2.2033782e+00  3.1052530e-01
  3.4550649e-01  4.5751721e-02  1.9934279e-01  3.0414417e-01
  3.2807577e-01  3.4764889e-01  2.6904660e-01  1.0121542e-01
  3.3243003e-01  3.5765678e-01 -6.0144072e+00  3.3652687e-01
  3.1005457e-01  3.4316739e-01  3.3291826e-01  3.4508124e-01
  3.5030136e-01  3.3071744e-01 -1.0502869e+02 -8.1294084e-01
  2.9198164e-01  3.4856802e-01  3.0521268e-01  2.9912671e-01
 -1.9231590e+00 -1.2260233e+00  3.0408818e-01  3.2586956e-01]"
26,"[ 0.35718343  0.32312927  0.3393338   0.32960054  0.32076666  0.26862586
  0.3348004   0.3317084   0.31951037  0.34625876  0.15611042 -0.1907183
  0.35436314  0.3494153   0.12359267  0.09777766  0.33903274  0.34244445
 -0.1311306   0.32101578  0.35006547  0.15160082  0.22834736  0.31325275
 -0.010014    0.34718257  0.35540605 -1.5583242   0.34357008  0.34036565
  0.3354777  -0.4778825  -0.39889252  0.33919165  0.21232828 -0.62307656
 -0.40332752  0.31405655  0.3541771  -1.4735241   0.34470204  0.3382987
  0.34009245  0.16846798  0.3447562   0.34807315 -0.6902659   0.32182944
  0.0657064   0.34350196  0.33324915  0.27786645  0.3501185  -0.07356873
 -2.492715    0.33764493  0.27932096  0.3466284   0.3075689   0.35480347
  0.3289169   0.25093928  0.30230516  0.32557833]"
27,"[ 0.34498695  0.33126336  0.34783608  0.34173414  0.3471644   0.34572133
  0.35860068 -2.7289562   0.30463403  0.30830485  0.34413004  0.04670733
  0.35549393  0.31449455  0.32975268 -1.471862   -0.63657534  0.34930193
  0.3161062   0.30611765  0.34982502  0.19539584  0.3131657   0.32251418
 -0.77583945  0.31706312  0.35882014  0.2740971   0.3492939   0.24035472
  0.3440643   0.31773606  0.3097682   0.34710118  0.30747795  0.34056062
  0.34809887  0.33823913  0.33047643 -0.25230402  0.31617042  0.27376282
  0.3498487   0.34609577  0.16259646  0.34329632  0.1686204   0.06444335
  0.34281042  0.34360737  0.31242806  0.34576002  0.35033286  0.31969592
 -0.12029922  0.35863045  0.30019626  0.25347215  0.34772775  0.3588085
 -1.4755288   0.2870184   0.02388677  0.21622227]"
28,"[ 0.32553482  0.35491326  0.35255674  0.35853615  0.34641922 -3.1412463
  0.35907096  0.32270253  0.34999382 -0.21913487  0.35369387  0.3211158
  0.3444971  -0.15305477  0.25602484  0.31510034  0.2577492   0.34999487
 -0.12207526 -0.40242934  0.3498451   0.18162096  0.3177703   0.33888808
 -0.10811129 -0.541098    0.22097611  0.31753108  0.3306766   0.29661366
  0.34646395  0.35864574  0.3529722   0.34377098  0.3091253   0.34346157
  0.06661537  0.3426865   0.26419732 -0.13433555  0.31728888  0.3421481
  0.35074118 -2.3665862   0.08535126  0.23614956  0.30667713  0.3296705
  0.3402854   0.34364662  0.35087094  0.33043408  0.33572578  0.33399528
  0.307607    0.35453075  0.34724393 -0.01808333  0.34991527  0.35959628
  0.20317665  0.27691382  0.3034639  -1.1245973 ]"
29,"[  0.34391168   0.35877064  -0.5236083    0.35276967   0.3463237
   0.3194382    0.359875     0.33602682  -1.9500881    0.33395356
   0.31935716   0.34752983   0.34248957   0.23684336   0.21768957
   0.33121693   0.33119875   0.3499377   -2.5467687    0.3155319
   0.34970635   0.34181648   0.3250513    0.34095258   0.3449075
   0.22639464  -1.0504637    0.3455214    0.34802857   0.3450929
   0.3451501    0.34401217   0.35927474   0.16852054   0.323707
   0.3599087   -2.4807043    0.34657487   0.11950134  -0.12199166
   0.26029366   0.31961668   0.35013992 -15.744599     0.20564067
   0.35071236   0.3327044    0.34174672   0.34030244   0.34366655
   0.35891902   0.34488523   0.33816895   0.34122992  -1.0294632
   0.33912718   0.35764366   0.33128038   0.34866753   0.3599285
   0.35032403   0.33289135   0.3570923    0.27615118]"
30,"[ 0.317533    0.35979465  0.32362974  0.35949004  0.3463877   0.3126243
  0.3599944   0.34288058 -1.0513316   0.3578668   0.27563116  0.34123358
  0.34435308  0.33449563  0.32563704  0.35744956  0.33983463  0.3498002
  0.2919623   0.34331867  0.34967974  0.34976026  0.31351733  0.23044175
  0.32439023  0.07147503  0.28385586  0.3312434   0.34438854  0.34586194
  0.34569445  0.33904895  0.3588967   0.34407067  0.3474131   0.35973123
  0.27866662 -0.09205234 -0.14183545  0.32214236  0.30371055  0.22128345
 -0.62220323  0.30525473  0.3361107   0.3439241   0.35518023  0.34662887
  0.3579788   0.34367734  0.35980383  0.3448633   0.34503973  0.34226587
  0.35554048  0.19379716  0.35978097  0.33747923  0.33080342  0.35999233
  0.337017    0.34416226  0.35147464  0.26353875]"
